]11;?[cmax_token_len: 64
max_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using frame_sampling type

max_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using frame_sampling type

Step 4800: grad_norm=0.0569, llm_grad_norm=0.0482, loss=0.0050, mem_enc_norm=0.0250, param_norm=1815.9487
Step 4900: grad_norm=0.0547, llm_grad_norm=0.0470, loss=0.0051, mem_enc_norm=0.0226, param_norm=1815.9722
Step 5000: grad_norm=0.0612, llm_grad_norm=0.0512, loss=0.0052, mem_enc_norm=0.0282, param_norm=1815.9968
Step 5100: grad_norm=0.0506, llm_grad_norm=0.0421, loss=0.0048, mem_enc_norm=0.0234, param_norm=1816.0226
Step 5200: grad_norm=0.0511, llm_grad_norm=0.0428, loss=0.0049, mem_enc_norm=0.0228, param_norm=1816.0477
Step 5300: grad_norm=0.0526, llm_grad_norm=0.0432, loss=0.0049, mem_enc_norm=0.0246, param_norm=1816.0751
Step 5400: grad_norm=0.0528, llm_grad_norm=0.0434, loss=0.0048, mem_enc_norm=0.0249, param_norm=1816.1038
Step 5500: grad_norm=0.0542, llm_grad_norm=0.0460, loss=0.0049, mem_enc_norm=0.0229, param_norm=1816.1324
Step 5600: grad_norm=0.0529, llm_grad_norm=0.0432, loss=0.0048, mem_enc_norm=0.0256, param_norm=1816.1627
Step 5700: grad_norm=0.0477, llm_grad_norm=0.0404, loss=0.0046, mem_enc_norm=0.0206, param_norm=1816.1927
Step 5800: grad_norm=0.0490, llm_grad_norm=0.0403, loss=0.0046, mem_enc_norm=0.0230, param_norm=1816.2238
Step 5900: grad_norm=0.0492, llm_grad_norm=0.0408, loss=0.0044, mem_enc_norm=0.0227, param_norm=1816.2578
Step 6000: grad_norm=0.0504, llm_grad_norm=0.0422, loss=0.0044, mem_enc_norm=0.0225, param_norm=1816.2905
Step 6100: grad_norm=0.0517, llm_grad_norm=0.0446, loss=0.0043, mem_enc_norm=0.0211, param_norm=1816.3251
Step 6200: grad_norm=0.0446, llm_grad_norm=0.0365, loss=0.0043, mem_enc_norm=0.0209, param_norm=1816.3590
Step 6300: grad_norm=0.0476, llm_grad_norm=0.0399, loss=0.0043, mem_enc_norm=0.0210, param_norm=1816.3956
Step 6400: grad_norm=0.0504, llm_grad_norm=0.0415, loss=0.0044, mem_enc_norm=0.0233, param_norm=1816.4343
Step 6500: grad_norm=0.0483, llm_grad_norm=0.0395, loss=0.0043, mem_enc_norm=0.0228, param_norm=1816.4734
Step 6600: grad_norm=0.0482, llm_grad_norm=0.0404, loss=0.0042, mem_enc_norm=0.0212, param_norm=1816.5150
Step 6700: grad_norm=0.0500, llm_grad_norm=0.0410, loss=0.0042, mem_enc_norm=0.0235, param_norm=1816.5559
Step 6800: grad_norm=0.0508, llm_grad_norm=0.0441, loss=0.0042, mem_enc_norm=0.0195, param_norm=1816.5984
Step 6900: grad_norm=0.0488, llm_grad_norm=0.0401, loss=0.0042, mem_enc_norm=0.0226, param_norm=1816.6414
Step 7000: grad_norm=0.0481, llm_grad_norm=0.0390, loss=0.0043, mem_enc_norm=0.0233, param_norm=1816.6869
Step 7100: grad_norm=0.0457, llm_grad_norm=0.0384, loss=0.0041, mem_enc_norm=0.0196, param_norm=1816.7341
Step 7200: grad_norm=0.0471, llm_grad_norm=0.0392, loss=0.0041, mem_enc_norm=0.0214, param_norm=1816.7810
Step 7300: grad_norm=0.0441, llm_grad_norm=0.0366, loss=0.0040, mem_enc_norm=0.0196, param_norm=1816.8307
Step 7400: grad_norm=0.0458, llm_grad_norm=0.0382, loss=0.0041, mem_enc_norm=0.0199, param_norm=1816.8789
Step 7500: grad_norm=0.0478, llm_grad_norm=0.0412, loss=0.0040, mem_enc_norm=0.0187, param_norm=1816.9297
Step 7600: grad_norm=0.0440, llm_grad_norm=0.0366, loss=0.0039, mem_enc_norm=0.0192, param_norm=1816.9802
Step 7700: grad_norm=0.0426, llm_grad_norm=0.0345, loss=0.0039, mem_enc_norm=0.0204, param_norm=1817.0315
Step 7800: grad_norm=0.0419, llm_grad_norm=0.0346, loss=0.0039, mem_enc_norm=0.0181, param_norm=1817.0859
Step 7900: grad_norm=0.0396, llm_grad_norm=0.0325, loss=0.0038, mem_enc_norm=0.0175, param_norm=1817.1398
Step 8000: grad_norm=0.0414, llm_grad_norm=0.0341, loss=0.0038, mem_enc_norm=0.0181, param_norm=1817.1956
Step 8100: grad_norm=0.0399, llm_grad_norm=0.0335, loss=0.0038, mem_enc_norm=0.0166, param_norm=1817.2534
Step 8200: grad_norm=0.0426, llm_grad_norm=0.0362, loss=0.0039, mem_enc_norm=0.0171, param_norm=1817.3109
Step 8300: grad_norm=0.0398, llm_grad_norm=0.0331, loss=0.0038, mem_enc_norm=0.0169, param_norm=1817.3722
Step 8400: grad_norm=0.0418, llm_grad_norm=0.0342, loss=0.0037, mem_enc_norm=0.0190, param_norm=1817.4349
Step 8500: grad_norm=0.0406, llm_grad_norm=0.0341, loss=0.0038, mem_enc_norm=0.0166, param_norm=1817.4983
Step 8600: grad_norm=0.0409, llm_grad_norm=0.0346, loss=0.0037, mem_enc_norm=0.0165, param_norm=1817.5603
Step 8700: grad_norm=0.0391, llm_grad_norm=0.0320, loss=0.0037, mem_enc_norm=0.0172, param_norm=1817.6252
Step 8800: grad_norm=0.0401, llm_grad_norm=0.0338, loss=0.0036, mem_enc_norm=0.0161, param_norm=1817.6937
Step 8900: grad_norm=0.0380, llm_grad_norm=0.0315, loss=0.0036, mem_enc_norm=0.0158, param_norm=1817.7604
Step 9000: grad_norm=0.0383, llm_grad_norm=0.0315, loss=0.0036, mem_enc_norm=0.0166, param_norm=1817.8300
Step 9100: grad_norm=0.0396, llm_grad_norm=0.0328, loss=0.0037, mem_enc_norm=0.0164, param_norm=1817.9052
Step 9200: grad_norm=0.0375, llm_grad_norm=0.0313, loss=0.0036, mem_enc_norm=0.0155, param_norm=1817.9757
Step 9300: grad_norm=0.0354, llm_grad_norm=0.0284, loss=0.0037, mem_enc_norm=0.0159, param_norm=1818.0480
Step 9400: grad_norm=0.0365, llm_grad_norm=0.0300, loss=0.0035, mem_enc_norm=0.0155, param_norm=1818.1212
Step 9500: grad_norm=0.0355, llm_grad_norm=0.0296, loss=0.0034, mem_enc_norm=0.0147, param_norm=1818.2000
Step 9600: grad_norm=0.0367, llm_grad_norm=0.0307, loss=0.0035, mem_enc_norm=0.0147, param_norm=1818.2793
Step 9700: grad_norm=0.0377, llm_grad_norm=0.0315, loss=0.0035, mem_enc_norm=0.0150, param_norm=1818.3588
Step 9800: grad_norm=0.0357, llm_grad_norm=0.0299, loss=0.0034, mem_enc_norm=0.0137, param_norm=1818.4380
Step 9900: grad_norm=0.0348, llm_grad_norm=0.0291, loss=0.0034, mem_enc_norm=0.0137, param_norm=1818.5165
Step 10000: grad_norm=0.0356, llm_grad_norm=0.0297, loss=0.0034, mem_enc_norm=0.0137, param_norm=1818.6001
Step 10100: grad_norm=0.0339, llm_grad_norm=0.0281, loss=0.0034, mem_enc_norm=0.0135, param_norm=1818.6849
Step 10200: grad_norm=0.0336, llm_grad_norm=0.0275, loss=0.0034, mem_enc_norm=0.0138, param_norm=1818.7676
Step 10300: grad_norm=0.0350, llm_grad_norm=0.0287, loss=0.0034, mem_enc_norm=0.0144, param_norm=1818.8538
Step 10400: grad_norm=0.0330, llm_grad_norm=0.0274, loss=0.0033, mem_enc_norm=0.0129, param_norm=1818.9365
Step 10500: grad_norm=0.0357, llm_grad_norm=0.0298, loss=0.0033, mem_enc_norm=0.0134, param_norm=1819.0239
Step 10600: grad_norm=0.0358, llm_grad_norm=0.0299, loss=0.0034, mem_enc_norm=0.0137, param_norm=1819.1099
Step 10700: grad_norm=0.0326, llm_grad_norm=0.0269, loss=0.0032, mem_enc_norm=0.0130, param_norm=1819.1959
Step 10800: grad_norm=0.0329, llm_grad_norm=0.0274, loss=0.0032, mem_enc_norm=0.0121, param_norm=1819.2803
Step 10900: grad_norm=0.0312, llm_grad_norm=0.0250, loss=0.0032, mem_enc_norm=0.0137, param_norm=1819.3650
Step 11000: grad_norm=0.0325, llm_grad_norm=0.0270, loss=0.0031, mem_enc_norm=0.0121, param_norm=1819.4473
Step 11100: grad_norm=0.0310, llm_grad_norm=0.0258, loss=0.0032, mem_enc_norm=0.0114, param_norm=1819.5291
Step 11200: grad_norm=0.0306, llm_grad_norm=0.0255, loss=0.0030, mem_enc_norm=0.0111, param_norm=1819.6128
Step 11300: grad_norm=0.0322, llm_grad_norm=0.0267, loss=0.0030, mem_enc_norm=0.0121, param_norm=1819.6964
Step 11400: grad_norm=0.0317, llm_grad_norm=0.0266, loss=0.0030, mem_enc_norm=0.0111, param_norm=1819.7770
Step 11500: grad_norm=0.0285, llm_grad_norm=0.0235, loss=0.0029, mem_enc_norm=0.0107, param_norm=1819.8560
Step 11600: grad_norm=0.0294, llm_grad_norm=0.0244, loss=0.0029, mem_enc_norm=0.0108, param_norm=1819.9347
Step 11700: grad_norm=0.0282, llm_grad_norm=0.0228, loss=0.0029, mem_enc_norm=0.0111, param_norm=1820.0176
Step 11800: grad_norm=0.0291, llm_grad_norm=0.0238, loss=0.0029, mem_enc_norm=0.0109, param_norm=1820.0981
Step 11900: grad_norm=0.0306, llm_grad_norm=0.0257, loss=0.0028, mem_enc_norm=0.0106, param_norm=1820.1797
Step 12000: grad_norm=0.0307, llm_grad_norm=0.0257, loss=0.0029, mem_enc_norm=0.0107, param_norm=1820.2631
Step 12100: grad_norm=0.0278, llm_grad_norm=0.0228, loss=0.0028, mem_enc_norm=0.0106, param_norm=1820.3434
Step 12200: grad_norm=0.0291, llm_grad_norm=0.0241, loss=0.0029, mem_enc_norm=0.0104, param_norm=1820.4259
Step 12300: grad_norm=0.0288, llm_grad_norm=0.0243, loss=0.0029, mem_enc_norm=0.0094, param_norm=1820.5040
Step 12400: grad_norm=0.0275, llm_grad_norm=0.0229, loss=0.0027, mem_enc_norm=0.0094, param_norm=1820.5845
Step 12500: grad_norm=0.0268, llm_grad_norm=0.0218, loss=0.0027, mem_enc_norm=0.0098, param_norm=1820.6643
Step 12600: grad_norm=0.0259, llm_grad_norm=0.0213, loss=0.0028, mem_enc_norm=0.0090, param_norm=1820.7446
Step 12700: grad_norm=0.0299, llm_grad_norm=0.0254, loss=0.0027, mem_enc_norm=0.0095, param_norm=1820.8239
Step 12800: grad_norm=0.0274, llm_grad_norm=0.0225, loss=0.0027, mem_enc_norm=0.0097, param_norm=1820.9047
Step 12900: grad_norm=0.0277, llm_grad_norm=0.0228, loss=0.0027, mem_enc_norm=0.0095, param_norm=1820.9835
Step 13000: grad_norm=0.0273, llm_grad_norm=0.0226, loss=0.0026, mem_enc_norm=0.0090, param_norm=1821.0636
Step 13100: grad_norm=0.0253, llm_grad_norm=0.0208, loss=0.0026, mem_enc_norm=0.0087, param_norm=1821.1417
Step 13200: grad_norm=0.0265, llm_grad_norm=0.0220, loss=0.0026, mem_enc_norm=0.0086, param_norm=1821.2201
Step 13300: grad_norm=0.0257, llm_grad_norm=0.0213, loss=0.0025, mem_enc_norm=0.0086, param_norm=1821.2987
Step 13400: grad_norm=0.0268, llm_grad_norm=0.0223, loss=0.0025, mem_enc_norm=0.0087, param_norm=1821.3796
