]11;?[cmax_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using rl_selector type

max_token_len: 64
Step 300: mean_reward=0.0008, mean_fm_selector=0.0569, mean_fm_uniform=0.0591, mean_entropy=5.4937, policy_loss=-0.0045, value_loss=0.0016, approx_kl=0.0000, grad_norm=0.0079
Step 310: mean_reward=-0.0049, mean_fm_selector=0.0622, mean_fm_uniform=0.0592, mean_entropy=5.2823, policy_loss=0.0051, value_loss=0.0022, approx_kl=0.0075, grad_norm=0.0105
Step 320: mean_reward=-0.0009, mean_fm_selector=0.0355, mean_fm_uniform=0.0367, mean_entropy=5.1764, policy_loss=0.0025, value_loss=0.0003, approx_kl=0.0075, grad_norm=0.0044
Step 330: mean_reward=-0.0022, mean_fm_selector=0.0649, mean_fm_uniform=0.0648, mean_entropy=5.2114, policy_loss=0.0005, value_loss=0.0010, approx_kl=-0.0001, grad_norm=0.0049
Step 340: mean_reward=0.0024, mean_fm_selector=0.0456, mean_fm_uniform=0.0497, mean_entropy=5.3907, policy_loss=-0.0031, value_loss=0.0007, approx_kl=0.0001, grad_norm=0.0052
Step 350: mean_reward=-0.0075, mean_fm_selector=0.0647, mean_fm_uniform=0.0588, mean_entropy=5.4130, policy_loss=0.0056, value_loss=0.0014, approx_kl=0.0716, grad_norm=0.0069
Step 360: mean_reward=-0.0086, mean_fm_selector=0.0585, mean_fm_uniform=0.0515, mean_entropy=5.5218, policy_loss=0.0088, value_loss=0.0029, approx_kl=0.0086, grad_norm=0.0100
Step 370: mean_reward=-0.0017, mean_fm_selector=0.0504, mean_fm_uniform=0.0507, mean_entropy=5.2345, policy_loss=0.0027, value_loss=0.0008, approx_kl=0.0079, grad_norm=0.0061
Step 380: mean_reward=0.0007, mean_fm_selector=0.0594, mean_fm_uniform=0.0623, mean_entropy=5.1394, policy_loss=-0.0059, value_loss=0.0009, approx_kl=0.0208, grad_norm=0.0080
Step 390: mean_reward=-0.0007, mean_fm_selector=0.0576, mean_fm_uniform=0.0587, mean_entropy=5.3214, policy_loss=-0.0022, value_loss=0.0007, approx_kl=0.0001, grad_norm=0.0054
Step 400: mean_reward=-0.0041, mean_fm_selector=0.0391, mean_fm_uniform=0.0370, mean_entropy=5.3061, policy_loss=0.0034, value_loss=0.0004, approx_kl=0.0000, grad_norm=0.0042
Step 410: mean_reward=-0.0092, mean_fm_selector=0.0538, mean_fm_uniform=0.0467, mean_entropy=5.2245, policy_loss=0.0099, value_loss=0.0021, approx_kl=0.1061, grad_norm=0.0122
Step 420: mean_reward=-0.0005, mean_fm_selector=0.0564, mean_fm_uniform=0.0576, mean_entropy=5.3502, policy_loss=-0.0008, value_loss=0.0004, approx_kl=-0.0001, grad_norm=0.0035
Step 430: mean_reward=0.0006, mean_fm_selector=0.0542, mean_fm_uniform=0.0561, mean_entropy=5.5054, policy_loss=0.0001, value_loss=0.0011, approx_kl=-0.0000, grad_norm=0.0071
Step 440: mean_reward=0.0034, mean_fm_selector=0.0368, mean_fm_uniform=0.0420, mean_entropy=5.2832, policy_loss=-0.0020, value_loss=0.0009, approx_kl=0.0022, grad_norm=0.0067
Step 450: mean_reward=0.0008, mean_fm_selector=0.0467, mean_fm_uniform=0.0495, mean_entropy=5.2130, policy_loss=-0.0027, value_loss=0.0011, approx_kl=0.0000, grad_norm=0.0057
Step 460: mean_reward=-0.0005, mean_fm_selector=0.0521, mean_fm_uniform=0.0534, mean_entropy=5.3945, policy_loss=-0.0021, value_loss=0.0007, approx_kl=-0.0000, grad_norm=0.0057
Step 470: mean_reward=0.0028, mean_fm_selector=0.0586, mean_fm_uniform=0.0633, mean_entropy=5.2995, policy_loss=-0.0034, value_loss=0.0013, approx_kl=0.0000, grad_norm=0.0077
Step 480: mean_reward=-0.0007, mean_fm_selector=0.0490, mean_fm_uniform=0.0500, mean_entropy=5.4194, policy_loss=-0.0036, value_loss=0.0011, approx_kl=-0.0000, grad_norm=0.0065
Step 490: mean_reward=0.0002, mean_fm_selector=0.0451, mean_fm_uniform=0.0470, mean_entropy=5.4419, policy_loss=-0.0010, value_loss=0.0008, approx_kl=0.0193, grad_norm=0.0066
Step 500: mean_reward=-0.0067, mean_fm_selector=0.0533, mean_fm_uniform=0.0486, mean_entropy=5.2730, policy_loss=-0.0055, value_loss=0.2761, approx_kl=0.0187, grad_norm=8.2693
Step 510: mean_reward=-0.0002, mean_fm_selector=0.0543, mean_fm_uniform=0.0563, mean_entropy=5.1908, policy_loss=0.0014, value_loss=0.0015, approx_kl=0.0001, grad_norm=0.0061
Step 520: mean_reward=-0.0081, mean_fm_selector=0.0487, mean_fm_uniform=0.0425, mean_entropy=5.3466, policy_loss=0.0036, value_loss=0.0019, approx_kl=0.0152, grad_norm=0.0077
Step 530: mean_reward=0.0007, mean_fm_selector=0.0462, mean_fm_uniform=0.0489, mean_entropy=5.2613, policy_loss=-0.0028, value_loss=0.0004, approx_kl=-0.0010, grad_norm=0.0046
Step 540: mean_reward=0.0058, mean_fm_selector=0.0639, mean_fm_uniform=0.0717, mean_entropy=5.1962, policy_loss=-0.0070, value_loss=0.0034, approx_kl=0.0001, grad_norm=0.0125
Step 550: mean_reward=0.0028, mean_fm_selector=0.0621, mean_fm_uniform=0.0665, mean_entropy=5.3907, policy_loss=-0.0029, value_loss=0.0006, approx_kl=0.0044, grad_norm=0.0063
Step 560: mean_reward=-0.0075, mean_fm_selector=0.0504, mean_fm_uniform=0.0448, mean_entropy=5.3377, policy_loss=0.0053, value_loss=0.0017, approx_kl=0.0004, grad_norm=0.0078
Step 570: mean_reward=-0.0037, mean_fm_selector=0.0453, mean_fm_uniform=0.0437, mean_entropy=5.2762, policy_loss=0.0019, value_loss=0.0007, approx_kl=0.0002, grad_norm=0.0041
Step 580: mean_reward=0.0011, mean_fm_selector=0.0466, mean_fm_uniform=0.0498, mean_entropy=5.2666, policy_loss=-0.0064, value_loss=0.0003, approx_kl=0.0300, grad_norm=0.0066
Step 590: mean_reward=-0.0072, mean_fm_selector=0.0556, mean_fm_uniform=0.0507, mean_entropy=5.1867, policy_loss=0.0041, value_loss=0.0023, approx_kl=0.0000, grad_norm=0.0071
Step 600: mean_reward=-0.0058, mean_fm_selector=0.0603, mean_fm_uniform=0.0566, mean_entropy=5.2696, policy_loss=0.0041, value_loss=0.0014, approx_kl=0.0063, grad_norm=0.0076
Step 610: mean_reward=-0.0020, mean_fm_selector=0.0532, mean_fm_uniform=0.0532, mean_entropy=5.2488, policy_loss=-0.0012, value_loss=0.0013, approx_kl=0.0290, grad_norm=0.0073
Step 620: mean_reward=-0.0002, mean_fm_selector=0.0481, mean_fm_uniform=0.0494, mean_entropy=5.4702, policy_loss=0.0024, value_loss=0.0018, approx_kl=-0.0000, grad_norm=0.0074
